2024-06-09 10:49:56,064.bbq_producer.INFO ==================================================
2024-06-09 10:49:56,064.bbq_producer.INFO Today is 2024-06-09 at 10:49 AM
2024-06-09 10:49:56,064.bbq_producer.INFO Running on: nt Windows 10
2024-06-09 10:49:56,065.bbq_producer.INFO Python version:  3.11.4
2024-06-09 10:49:56,065.bbq_producer.INFO Python path: C:\Users\lucim\Streaming Data\streaming-05-smart-smoker\.venv
2024-06-09 10:49:56,065.bbq_producer.INFO Working dir: C:\Users\lucim\Streaming Data\streaming-05-smart-smoker
2024-06-09 10:49:56,065.bbq_producer.INFO ==================================================
2024-06-09 10:52:24,895.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:43:15,126.7
2024-06-09 10:52:27,897.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:44:10,130.0
2024-06-09 10:52:30,899.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:44:15,130.0
2024-06-09 10:52:33,903.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:45:10,130.0
2024-06-09 10:52:36,906.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:45:15,130.0
2024-06-09 10:52:39,910.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:46:10,137.3
2024-06-09 10:52:42,916.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:46:15,137.3
2024-06-09 10:52:45,918.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:47:10,139.5
2024-06-09 10:52:48,919.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:47:15,139.5
2024-06-09 10:52:51,922.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:48:10,141.8
2024-06-09 10:52:54,935.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:48:15,141.8
2024-06-09 10:52:57,938.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:49:10,143.6
2024-06-09 10:53:00,940.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:49:15,143.6
2024-06-09 10:53:03,944.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:50:10,145.0
2024-06-09 10:53:06,953.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:50:15,145.0
2024-06-09 10:53:09,955.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:51:10,146.2
2024-06-09 10:53:12,959.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:51:15,146.2
2024-06-09 10:53:15,963.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:52:10,147.5
2024-06-09 10:53:18,967.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:52:15,147.5
2024-06-09 10:53:21,982.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:53:10,148.7
2024-06-09 10:53:24,984.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:53:15,148.7
2024-06-09 10:53:27,987.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:54:10,149.9
2024-06-09 10:53:30,994.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:54:15,149.9
2024-06-09 10:53:33,996.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:55:05,151.1
2024-06-09 10:53:36,999.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:55:10,151.2
2024-06-09 10:53:40,002.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:55:15,151.2
2024-06-09 10:53:43,003.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:56:10,152.4
2024-06-09 10:53:46,007.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:56:15,152.4
2024-06-09 10:53:49,009.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:57:10,153.4
2024-06-09 10:53:52,010.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:57:15,153.4
2024-06-09 10:53:55,012.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:58:10,154.5
2024-06-09 10:53:58,014.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:58:15,154.5
2024-06-09 10:54:01,016.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:59:10,155.6
2024-06-09 10:54:04,017.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 12:59:15,155.6
2024-06-09 10:54:07,019.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:00:10,156.5
2024-06-09 10:54:10,022.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:00:15,156.5
2024-06-09 10:54:13,025.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:01:10,157.8
2024-06-09 10:54:16,027.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:01:15,157.8
2024-06-09 10:54:19,031.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:02:10,158.8
2024-06-09 10:54:22,034.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:02:15,158.8
2024-06-09 10:54:25,035.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:03:10,159.9
2024-06-09 10:54:28,039.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:03:15,159.9
2024-06-09 10:54:31,042.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:04:10,160.7
2024-06-09 10:54:34,045.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:04:15,160.7
2024-06-09 10:54:37,052.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:05:10,161.9
2024-06-09 10:54:40,054.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:05:15,161.9
2024-06-09 10:54:43,056.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:06:10,163.1
2024-06-09 10:54:46,058.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:06:15,163.1
2024-06-09 10:54:49,063.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:07:10,164.3
2024-06-09 10:54:52,066.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:07:15,164.3
2024-06-09 10:54:55,068.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:08:10,165.6
2024-06-09 10:54:58,072.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:08:15,165.6
2024-06-09 10:55:01,073.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:09:10,166.7
2024-06-09 10:55:04,080.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:09:15,166.7
2024-06-09 10:55:07,083.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:10:10,167.8
2024-06-09 10:55:10,085.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:10:15,167.8
2024-06-09 10:55:13,090.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:11:10,168.8
2024-06-09 10:55:16,093.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:11:15,168.8
2024-06-09 10:55:19,096.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:12:10,170.2
2024-06-09 10:55:22,099.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:12:15,170.2
2024-06-09 10:55:25,102.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:13:10,171.7
2024-06-09 10:55:28,105.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:13:15,171.7
2024-06-09 10:55:31,108.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:14:10,173.3
2024-06-09 10:55:34,112.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:14:15,173.3
2024-06-09 10:55:37,113.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:15:10,174.6
2024-06-09 10:55:40,116.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:15:15,174.6
2024-06-09 10:55:43,118.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:16:10,175.5
2024-06-09 10:55:46,122.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:16:15,175.5
2024-06-09 10:55:49,124.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:17:10,176.8
2024-06-09 10:55:52,128.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:17:15,176.8
2024-06-09 10:55:55,130.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:18:10,177.8
2024-06-09 10:55:58,133.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:18:15,177.8
2024-06-09 10:56:01,136.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:19:10,178.9
2024-06-09 10:56:04,140.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:19:15,178.9
2024-06-09 10:56:07,141.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:20:10,180.3
2024-06-09 10:56:10,143.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:20:15,180.3
2024-06-09 10:56:13,149.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:21:10,181.4
2024-06-09 10:56:16,152.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:21:15,181.4
2024-06-09 10:56:19,154.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:22:10,182.6
2024-06-09 10:56:22,157.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:22:15,182.6
2024-06-09 10:56:25,162.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:23:10,183.9
2024-06-09 10:56:28,169.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:23:15,183.9
2024-06-09 10:56:31,170.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:24:10,184.8
2024-06-09 10:56:34,175.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:24:15,184.8
2024-06-09 10:56:37,178.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:25:10,186.0
2024-06-09 10:56:40,183.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:25:15,186.0
2024-06-09 10:56:43,188.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:26:10,187.1
2024-06-09 10:56:46,192.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:26:15,187.1
2024-06-09 10:56:49,197.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:27:10,211.9
2024-06-09 10:56:52,198.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:27:15,211.9
2024-06-09 10:56:55,201.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:28:10,215.3
2024-06-09 10:56:58,205.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:28:15,215.3
2024-06-09 10:57:01,209.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:29:10,217.0
2024-06-09 10:57:04,214.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:29:15,217.0
2024-06-09 10:57:07,216.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:30:10,218.6
2024-06-09 10:57:10,220.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:30:15,218.6
2024-06-09 10:57:13,222.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:31:10,218.5
2024-06-09 10:57:16,226.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:31:15,218.5
2024-06-09 10:57:19,231.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:32:10,219.4
2024-06-09 10:57:22,232.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:32:15,219.4
2024-06-09 10:57:25,235.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:33:10,220.5
2024-06-09 10:57:28,237.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:33:15,220.5
2024-06-09 10:57:31,240.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:34:10,220.7
2024-06-09 10:57:34,245.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:34:15,220.7
2024-06-09 10:57:37,250.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:35:10,222.5
2024-06-09 10:57:40,253.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:35:15,222.5
2024-06-09 10:57:43,256.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:36:10,223.0
2024-06-09 10:57:46,259.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:36:15,223.0
2024-06-09 10:57:49,262.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:37:10,224.7
2024-06-09 10:57:52,264.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:37:15,224.7
2024-06-09 10:57:55,269.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:38:10,224.2
2024-06-09 10:57:58,273.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:38:15,224.2
2024-06-09 10:58:01,277.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:39:10,223.6
2024-06-09 10:58:04,280.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:39:15,223.6
2024-06-09 10:58:07,282.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:40:10,224.6
2024-06-09 10:58:10,284.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:40:15,224.6
2024-06-09 10:58:13,285.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:41:10,224.3
2024-06-09 10:58:16,287.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:41:15,224.3
2024-06-09 10:58:19,289.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:42:10,226.6
2024-06-09 10:58:22,291.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:42:15,226.6
2024-06-09 10:58:25,298.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:43:10,229.0
2024-06-09 10:58:28,300.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:43:15,229.0
2024-06-09 10:58:31,302.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:44:10,232.8
2024-06-09 10:58:34,306.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:44:15,232.8
2024-06-09 10:58:37,308.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:45:10,237.9
2024-06-09 10:58:40,313.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:45:15,237.9
2024-06-09 11:00:32,602.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:46:10,200.2
2024-06-09 11:00:35,604.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:46:15,200.2
2024-06-09 11:00:38,606.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:46:35,38.7
2024-06-09 11:00:41,608.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:46:40,38.7
2024-06-09 11:00:41,608.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:46:40,37.0
2024-06-09 11:00:44,611.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:46:45,37.0
2024-06-09 11:00:47,617.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:47:10,205.9
2024-06-09 11:00:50,624.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:47:15,205.9
2024-06-09 11:00:53,627.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:47:35,37.1
2024-06-09 11:00:56,634.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:47:40,37.1
2024-06-09 11:00:56,638.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:47:40,35.3
2024-06-09 11:00:59,639.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:47:45,35.3
2024-06-09 11:01:02,643.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:48:10,230.0
2024-06-09 11:01:05,646.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:48:15,230.0
2024-06-09 11:01:08,648.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:48:35,36.9
2024-06-09 11:01:11,652.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:48:40,36.9
2024-06-09 11:01:11,655.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:48:40,35.2
2024-06-09 11:01:14,660.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:48:45,35.2
2024-06-09 11:01:17,662.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:49:10,239.6
2024-06-09 11:01:20,663.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:49:15,239.6
2024-06-09 11:01:23,665.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:49:35,36.9
2024-06-09 11:01:26,668.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:49:40,36.9
2024-06-09 11:01:26,671.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:49:40,35.3
2024-06-09 11:01:29,673.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:49:45,35.3
2024-06-09 11:01:32,677.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:50:10,242.4
2024-06-09 11:01:35,680.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:50:15,242.4
2024-06-09 11:01:38,683.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:50:35,37.2
2024-06-09 11:01:41,685.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:50:40,37.2
2024-06-09 11:01:41,687.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:50:40,35.2
2024-06-09 11:01:44,689.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:50:45,35.2
2024-06-09 11:01:47,690.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:51:10,243.1
2024-06-09 11:01:50,692.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:51:15,243.1
2024-06-09 11:01:53,692.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:51:35,37.5
2024-06-09 11:01:56,699.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:51:40,37.5
2024-06-09 11:01:56,700.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:51:40,35.2
2024-06-09 11:01:59,701.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:51:45,35.2
2024-06-09 11:02:02,703.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:52:10,242.6
2024-06-09 11:02:05,705.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:52:15,242.6
2024-06-09 11:02:08,707.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:52:35,37.9
2024-06-09 11:02:11,709.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:52:40,37.9
2024-06-09 11:02:11,711.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:52:40,35.6
2024-06-09 11:02:14,712.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:52:45,35.6
2024-06-09 11:02:17,715.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:53:10,241.7
2024-06-09 11:02:20,716.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:53:15,241.7
2024-06-09 11:02:23,717.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:53:35,38.4
2024-06-09 11:02:26,720.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:53:40,38.4
2024-06-09 11:02:26,721.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:53:40,35.7
2024-06-09 11:02:29,723.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:53:45,35.7
2024-06-09 11:02:32,725.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:54:10,241.4
2024-06-09 11:02:35,733.bbq_producer.INFO  [x] Smoker Temperature is 05/22/21 13:54:15,241.4
2024-06-09 11:02:38,735.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:54:35,39.1
2024-06-09 11:02:41,737.bbq_producer.INFO  [x] Food A Temperature is 05/22/21 13:54:40,39.1
2024-06-09 11:02:41,738.bbq_producer.INFO  [x] Food B Temperature is 05/22/21 13:54:40,36.0
